priority,batch_id,status,response_exists,slide_count,sources,first_slide,last_slide,notes
1,batch_037,labeled,true,5,IMF; Roland Berger,imf_WEO_2024_Oct_slide_015.png,roland_berger_cop_vdma_studie_slide_004.png,Roland Berger priority
1,batch_038,labeled,true,5,Roland Berger,roland_berger_cop_vdma_studie_slide_005.png,roland_berger_cop_vdma_studie_slide_009.png,Roland Berger priority
1,batch_039,labeled,true,5,Roland Berger,roland_berger_cop_vdma_studie_slide_010.png,roland_berger_cop_vdma_studie_slide_014.png,Roland Berger priority
1,batch_040,labeled,true,5,Roland Berger,roland_berger_cop_vdma_studie_slide_015.png,roland_berger_cop_vdma_studie_slide_019.png,Roland Berger priority
1,batch_041,labeled,true,5,Roland Berger,roland_berger_cop_vdma_studie_slide_020.png,roland_berger_cop_vdma_studie_slide_024.png,Roland Berger priority
1,batch_042,labeled,true,5,Roland Berger,roland_berger_cop_vdma_studie_slide_025.png,roland_berger_cop_vdma_studie_slide_029.png,Roland Berger priority
1,batch_043,labeled,true,5,Roland Berger,roland_berger_cop_vdma_studie_slide_030.png,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_002.png,Roland Berger priority
1,batch_044,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_003.png,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_007.png,Roland Berger priority
1,batch_045,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_008.png,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_012.png,Roland Berger priority
1,batch_046,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_013.png,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_017.png,Roland Berger priority
1,batch_047,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_018.png,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_022.png,Roland Berger priority
1,batch_048,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_023.png,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_027.png,Roland Berger priority
1,batch_049,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_028.png,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_032.png,Roland Berger priority
1,batch_050,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_033.png,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_037.png,Roland Berger priority
1,batch_051,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_038.png,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_042.png,Roland Berger priority
1,batch_052,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_043.png,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_047.png,Roland Berger priority
1,batch_053,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2030___trend_5_dynamic_technology_and_innovation_slide_048.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_003.png,Roland Berger priority
1,batch_054,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_004.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_008.png,Roland Berger priority
1,batch_055,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_009.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_013.png,Roland Berger priority
1,batch_056,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_014.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_018.png,Roland Berger priority
1,batch_057,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_019.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_023.png,Roland Berger priority
